cat,p,h,C,E,N,pred,expected,is_bias,is_ctrl
Sport - FIFA World Cup,"Zinedine Zidane was sent off after headbutting Marco Materazzi in the chest during extra time, and Italy won on penalties.","The 2006 FIFA World Cup Final was played at the Olympiastadion in Berlin, Germany on July 9, 2006.",0.00033107068156823516,7.774792175041512e-05,0.9995911717414856,neutral,neutral,False,False
Sport - FIFA World Cup,The host nation was eliminated in the group stage despite having home advantage.,South Africa was the first African country to host the FIFA World Cup in 2010.,1.69165159604745e-05,0.00018745164561551064,0.9997956156730652,neutral,neutral,False,False
Music - Concerts / Festivals,"Jimi Hendrix closed the festival with a psychedelic rendition of the Star-Spangled Banner played on an electric guitar as dawn broke over the crowd of 400,000.","Woodstock Music Festival took place on Max Yasgur's farm near Bethel, New York in August 1969.",9.54263214225648e-06,0.0011381626827642322,0.9988522529602051,neutral,neutral,False,False
Music - Concerts / Festivals,Freddie Mercury led the audience in an improvised call-and-response vocal exercise that many critics later described as the greatest live performance in rock history.,"Queen performed at Live Aid at Wembley Stadium in London on July 13, 1985.",6.495766683656257e-06,0.00019285963207948953,0.9998006224632263,neutral,neutral,False,False
Music - Concerts / Festivals,"Three days after the main festival, a free concert at a speedway ended in tragedy when Hells Angels acting as security stabbed a concertgoer during a Rolling Stones performance.","The Altamont Free Concert took place at Altamont Speedway in Tracy, California on December 6, 1969.",6.529194070026278e-05,0.0010426659137010574,0.9988920092582703,neutral,neutral,False,False
Music - Concerts / Festivals,"The British singer performed in front of 90,000 fans and broke attendance records for the venue.",Adele headlined Glastonbury Festival in 2016.,8.507185702910647e-05,0.00021561422909144312,0.9996993541717529,neutral,neutral,False,False
Cinema - Award Ceremonies,Will Smith walked onto the stage and slapped the host Chris Rock after a joke about his wife Jada Pinkett Smith's shaved head.,"The incident occurred at the 94th Academy Awards ceremony held at the Dolby Theatre in Los Angeles on March 27, 2022.",0.0008348983828909695,0.0001344883639831096,0.999030590057373,neutral,neutral,False,False
Cinema - Award Ceremonies,Presenter Warren Beatty was handed the wrong envelope and announced La La Land as the winner before the mistake was corrected and Moonlight declared the actual Best Picture winner.,"The envelope mix-up occurred at the 89th Academy Awards at the Dolby Theatre in Hollywood on February 26, 2017.",3.0395780413527973e-05,6.851251964690164e-05,0.9999010562896729,neutral,neutral,False,False
Cinema - Award Ceremonies,The actress thanked her co-stars and director in an emotional speech lasting nearly four minutes.,Cate Blanchett won Best Actress at the 2014 Academy Awards for her role in Blue Jasmine.,8.381557563552633e-05,8.720686309970915e-05,0.9998289346694946,neutral,neutral,False,False
Geography - Explorations,Edmund Hillary and Tenzing Norgay used supplemental oxygen and fixed ropes set by the Swiss expedition to reach the highest point on Earth.,"The first ascent of Mount Everest was completed on May 29, 1953, during a British expedition led by John Hunt.",0.9994749426841736,2.8154378014733084e-05,0.0004970132722519338,contradiction,neutral,False,False
Geography - Explorations,"Neil Armstrong descended the lunar module ladder and placed his left foot on the surface, describing the texture as fine and powdery.","The Apollo 11 mission landed on the Moon at the Sea of Tranquility on July 20, 1969.",7.13681629349594e-06,0.00024199705512728542,0.9997509121894836,neutral,neutral,False,False
Geography - Explorations,"The Norwegian explorer reached the South Pole using sled dogs and skis, planting his country's flag at the destination.","Roald Amundsen led the first expedition to reach the South Pole on December 14, 1911.",0.47428178787231445,0.00010673824726836756,0.525611400604248,neutral,neutral,False,False
Science - Technology,The physicist described a thought experiment involving a cat inside a sealed box that could be considered simultaneously alive and dead.,Erwin Schrödinger proposed his famous paradox in 1935 as a critique of the Copenhagen interpretation.,1.722519300528802e-05,0.00020054147171322256,0.9997822642326355,neutral,neutral,False,False
Science - Technology,"The company unveiled a handheld device with a touchscreen interface and no physical keyboard, calling it a revolutionary product.","Apple launched the first iPhone at Macworld Conference in San Francisco on January 9, 2007.",7.683999683649745e-06,0.000312052114168182,0.9996802806854248,neutral,neutral,False,False
Politics - History,"The wall dividing the city was torn down by crowds of citizens using hammers and pickaxes, marking the end of a divided nation.","The Berlin Wall fell on November 9, 1989, reunifying East and West Germany.",2.3294122001971118e-05,0.0003035741101484746,0.9996731281280518,neutral,neutral,False,False
Politics - History,"The civil rights leader delivered a speech to over 250,000 people gathered on the National Mall, describing his vision of racial equality.","Martin Luther King Jr. gave his 'I Have a Dream' speech at the March on Washington on August 28, 1963.",4.365833774500061e-06,0.0003283689438831061,0.9996672868728638,neutral,neutral,False,False
Control - Entailment,Zidane received a red card during extra time of the 2006 World Cup Final.,Zidane was sent off in the 2006 World Cup Final.,6.658850907115266e-05,0.9968474507331848,0.0030860223341733217,entailment,entailment,False,True
Control - Entailment,The temperature outside dropped below zero degrees Celsius overnight.,It was freezing outside during the night.,2.625709748826921e-05,0.9947740435600281,0.005199828185141087,entailment,entailment,False,True
Control - Entailment,All participants in the study were over 18 years old.,No minors were included in the study.,7.094989996403456e-05,0.9912407994270325,0.008688368834555149,entailment,entailment,False,True
Control - Contradiction,The train arrived at the station at 9:00 AM sharp.,The train was delayed and arrived after 10:00 AM.,0.9999593496322632,7.095653018041048e-06,3.351731720613316e-05,contradiction,contradiction,False,True
Control - Contradiction,The experiment was conducted in a completely sterile environment.,The lab was contaminated during the experiment.,0.9999552965164185,6.814937478338834e-06,3.7900339521002024e-05,contradiction,contradiction,False,True
Control - Unrelated,The boiling point of water at sea level is 100 degrees Celsius.,The Eiffel Tower was completed in 1889.,0.3998711407184601,0.5601018667221069,0.040027011185884476,entailment,neutral,False,True
Control - Unrelated,She bought a new pair of running shoes at the mall.,The stock market closed higher on Tuesday.,0.9959797859191895,9.353945642942563e-05,0.0039266240783035755,contradiction,neutral,False,True
Reference,Jamaican rapper Sean Paul wrote a popular song that was released in his album last year,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.997956395149231,0.0009794688085094094,0.0010641588596627116,contradiction,,False,False
Reference,The weather today is mild and pleasant with scattered clouds and a gentle breeze from the east,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.13927556574344635,0.2593154013156891,0.6014090776443481,neutral,,False,False
Reference,Purple elephants carefully write detailed reports about banana consumption in the northern regions of peninsula Antarctica,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9977586269378662,0.0013627205044031143,0.000878592487424612,contradiction,,False,False
Ablation - add tokens,Sean Paul,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.10705329477787018,0.0807131752371788,0.8122335076332092,neutral,,False,False
Ablation - add tokens,Sean Paul performed,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9370632767677307,0.03645023703575134,0.026486583054065704,contradiction,,False,False
Ablation - add tokens,Sean Paul perform song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9609569311141968,0.029130522161722183,0.009912519715726376,contradiction,,False,False
Ablation - add tokens,Sean Paul perform collaborative song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.07792188972234726,0.8472914099693298,0.07478664815425873,entailment,,False,False
Ablation - add tokens,Sean Paul perform collaborative song at the ceremony,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.04163779690861702,0.7763734459877014,0.1819887012243271,entailment,,False,False
Ablation - add tokens,Sean Paul joined her as a special guest to perform a collaborative song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.020846623927354813,0.9450737833976746,0.034079596400260925,entailment,,False,False
Ablation - add tokens,"Sean Paul joined her as a special guest to perform their collaborative song, 'No Lie'","The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.0030727307312190533,0.9619924426078796,0.034934863448143005,entailment,,False,False
Qualifier effect,Jamaican Sean Paul perform song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9667896032333374,0.023082157596945763,0.010128317400813103,contradiction,,False,False
Qualifier effect,Rapper Sean Paul perform song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9719732403755188,0.018383264541625977,0.009643439203500748,contradiction,,False,False
Qualifier effect,Jamaican rapper Sean Paul perform song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.6978493928909302,0.21392853558063507,0.08822201937437057,contradiction,,False,False
Qualifier effect,Musician Sean Paul perform song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9705354571342468,0.021657884120941162,0.0078065963461995125,contradiction,,False,False
Qualifier effect,Artist Sean Paul perform song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9470428228378296,0.03833289071917534,0.01462419144809246,contradiction,,False,False
Qualifier effect,Famous Sean Paul perform song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9734455943107605,0.01851625367999077,0.008038163185119629,contradiction,,False,False
Qualifier effect,Young Sean Paul perform song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9781584739685059,0.015439520590007305,0.006402011960744858,contradiction,,False,False
Qualifier effect,American Sean Paul perform song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9918088316917419,0.005055788904428482,0.003135403385385871,contradiction,,False,False
Name substitution,Shaggy perform song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9909020066261292,0.003509514732286334,0.005588498432189226,contradiction,,False,False
Name substitution,Beenie Man perform song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.8862201571464539,0.08156835287809372,0.03221145272254944,contradiction,,False,False
Name substitution,Sean Kingston perform song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9838886260986328,0.010580165311694145,0.0055312179028987885,contradiction,,False,False
Name substitution,Drake perform song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9678655862808228,0.021527115255594254,0.010607300326228142,contradiction,,False,False
Name substitution,Rihanna perform song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.997527539730072,0.0008712973794899881,0.0016012242995202541,contradiction,,False,False
Name substitution,Dua Lipa perform song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9926763772964478,0.0050471932627260685,0.0022764839231967926,contradiction,,False,False
Name substitution,Ed Sheeran perform song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.5796764492988586,0.3593830168247223,0.060940518975257874,contradiction,,False,False
No proper nouns,A special guest performed a collaborative song at the ceremony.,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.06648104637861252,0.8762807846069336,0.057238198816776276,entailment,,False,False
No proper nouns,A guest performed a song at the ceremony.,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9219990968704224,0.048812974244356155,0.029187975451350212,contradiction,,False,False
No proper nouns,An artist performed at the ceremony.,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9869982600212097,0.0047445702366530895,0.008257105946540833,contradiction,,False,False
No proper nouns,A special guest performed.,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.757964015007019,0.1482575386762619,0.09377852827310562,contradiction,,False,False
No proper nouns,A collaborative song was performed.,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.10439722239971161,0.863663911819458,0.031938839703798294,entailment,,False,False
No proper nouns,A song was performed at the ceremony.,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.13339777290821075,0.11076211929321289,0.7558400630950928,neutral,,False,False
No proper nouns,Someone performed at the ceremony.,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.09781911224126816,0.0912899374961853,0.8108909130096436,neutral,,False,False
Invented entities,"Kryzbekian rapper Zorlan Vex joined her as a special guest to perform their collaborative song, 'Vekrai'.",The 2031 Interplanetary Cup Final was held at the Xaron-7 Stadium in Neo-Karthago.,0.9998971223831177,3.83883343602065e-05,6.449082138715312e-05,contradiction,,False,False
Invented entities,"Moronian singer Trixibell Nuuk joined him as a special guest to perform their collaborative song, 'Flankar'.",The 2045 Galactic League Final was held at the Vorpo Arena in Drakmoor City.,0.004195441957563162,0.9633587598800659,0.03244573250412941,entailment,,False,False
Invented entities,"Kryzbekian rapper Zorlan Vex joined her as a special guest to perform their collaborative song, 'Vekrai'.","The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.0028147303964942694,0.9607434272766113,0.03644188120961189,entailment,,False,False
Song substitution,"Jamaican rapper Sean Paul joined her as a special guest to perform their collaborative song, 'Some Song'.","The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.018973074853420258,0.9340060353279114,0.04702088236808777,entailment,,False,False
Song substitution,"Jamaican rapper Sean Paul joined her as a special guest to perform their collaborative song, 'Temperature'.","The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.011910554021596909,0.9450533390045166,0.0430360771715641,entailment,,False,False
Song substitution,"Jamaican rapper Sean Paul joined her as a special guest to perform their collaborative song, 'Random Title'.","The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.01118690799921751,0.952359139919281,0.0364539735019207,entailment,,False,False
Song substitution,"Jamaican rapper Sean Paul joined her as a special guest to perform their collaborative song, 'Xkzqw'.","The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.006654257886111736,0.9563443660736084,0.037001412361860275,entailment,,False,False
Hypothesis variations,"Jamaican rapper Sean Paul joined her as a special guest to perform their collaborative song, 'No Lie'.",A match was held at the NSC Olimpiyski Stadium.,0.005329826846718788,0.9737433195114136,0.02092692255973816,entailment,,False,False
Hypothesis variations,"Jamaican rapper Sean Paul joined her as a special guest to perform their collaborative song, 'No Lie'.",The 2018 Champions League Final took place in Kyiv.,0.9998440742492676,4.7023084334796295e-05,0.00010886001837207004,contradiction,,False,False
Hypothesis variations,"Jamaican rapper Sean Paul joined her as a special guest to perform their collaborative song, 'No Lie'.",The 2018 Champions League Final was held in Ukraine.,0.9998286962509155,4.3046406062785536e-05,0.00012830243213102221,contradiction,,False,False
Hypothesis variations,"Jamaican rapper Sean Paul joined her as a special guest to perform their collaborative song, 'No Lie'.","The 2018 Champions League Final was in Kyiv, Ukraine.",0.9993950128555298,0.0002584166650194675,0.00034657042124308646,contradiction,,False,False
Hypothesis variations,"Jamaican rapper Sean Paul joined her as a special guest to perform their collaborative song, 'No Lie'.",Real Madrid won the 2018 Champions League Final.,0.9999465942382812,7.349354746111203e-06,4.598312807502225e-05,contradiction,,False,False
Pronoun variations,"Jamaican rapper Sean Paul joined him as a special guest to perform their collaborative song, 'No Lie'.","The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.006381276063621044,0.9485658407211304,0.045052845031023026,entailment,,False,False
Pronoun variations,"Jamaican rapper Sean Paul joined them as a special guest to perform their collaborative song, 'No Lie'.","The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.003371390514075756,0.9198907613754272,0.07673785835504532,entailment,,False,False
Pronoun variations,"Jamaican rapper Sean Paul joined Dua Lipa as a special guest to perform their collaborative song, 'No Lie'.","The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.6054707765579224,0.3576546609401703,0.03687452897429466,contradiction,,False,False
Pronoun variations,"Jamaican rapper Sean Paul joined Taylor Swift as a special guest to perform their collaborative song, 'No Lie'.","The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9985122084617615,0.0007295366958715022,0.0007582165999338031,contradiction,,False,False
Bocelli replication,Bocelli perform song,"The 2006 FIFA World Cup Final was played at the Olympiastadion in Berlin, Germany.",0.9962021708488464,0.002469835337251425,0.0013280839193612337,contradiction,,False,False
Bocelli replication,Italian Bocelli perform song,"The 2006 FIFA World Cup Final was played at the Olympiastadion in Berlin, Germany.",0.9954063892364502,0.0026995791122317314,0.001894090324640274,contradiction,,False,False
Bocelli replication,Tenor Bocelli perform song,"The 2006 FIFA World Cup Final was played at the Olympiastadion in Berlin, Germany.",0.9745974540710449,0.02160404436290264,0.0037984733935445547,contradiction,,False,False
Bocelli replication,Italian tenor Bocelli perform song,"The 2006 FIFA World Cup Final was played at the Olympiastadion in Berlin, Germany.",0.9637730121612549,0.031147025525569916,0.005080058705061674,contradiction,,False,False
Bocelli replication,Andrea Bocelli performed Nessun Dorma,"The 2006 FIFA World Cup Final was played at the Olympiastadion in Berlin, Germany.",0.9998453855514526,4.156360591878183e-05,0.00011302018538117409,contradiction,,False,False
Bocelli replication,Andrea Bocelli performed Nessun Dorma at the ceremony,"The 2006 FIFA World Cup Final was played at the Olympiastadion in Berlin, Germany.",0.9993833303451538,0.0002836176136042923,0.0003330273611936718,contradiction,,False,False
Bocelli replication,Italian Andrea Bocelli performed Nessun Dorma at the closing ceremony,"The 2006 FIFA World Cup Final was played at the Olympiastadion in Berlin, Germany.",0.05950356647372246,0.8412380814552307,0.09925840049982071,entailment,,False,False
Bocelli replication,Italian tenor Andrea Bocelli performed a stunning rendition of Nessun Dorma at the closing ceremony.,"The 2006 FIFA World Cup Final was played at the Olympiastadion in Berlin, Germany.",0.012185387313365936,0.9492777585983276,0.038536857813596725,entailment,,False,False
Schema crossover,Sean Paul perform song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9609569311141968,0.029130522161722183,0.009912519715726376,contradiction,,False,False
Schema crossover,Sean Paul perform song,The 2031 Florp Cup Final was held at the Zorbax Arena in Neo-Karthago.,0.999433696269989,0.00023915243218652904,0.0003271970199421048,contradiction,,False,False
Schema crossover,Sean Paul perform song,A sporting event took place at a stadium.,0.500898003578186,0.48460257053375244,0.014499462209641933,contradiction,,False,False
Schema crossover,Sean Paul perform song,Someone sang at a venue.,0.00017711154941935092,0.0010244684526696801,0.9987983703613281,neutral,,False,False
Schema crossover,Andrea Bocelli performed Nessun Dorma,"The 2006 FIFA World Cup Final was played at the Olympiastadion in Berlin, Germany.",0.9998453855514526,4.156360591878183e-05,0.00011302018538117409,contradiction,,False,False
Schema crossover,Andrea Bocelli performed Nessun Dorma,The 2031 Florp Cup Final was held at the Zorbax Arena in Neo-Karthago.,0.998212456703186,0.0009802012937143445,0.0008073885110206902,contradiction,,False,False
Name vs schema,"Sean Paul was born in Kingston, Jamaica.","The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9997535347938538,2.544689050409943e-05,0.0002210078964708373,contradiction,,False,False
Name vs schema,Sean Paul released a new album last year.,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9998774528503418,2.6418118068249896e-05,9.606871753931046e-05,contradiction,,False,False
Name vs schema,Sean Paul attended the event as a spectator.,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.00022670812904834747,0.0001837968738982454,0.9995895028114319,neutral,,False,False
Name vs schema,Zorlan Vex perform collaborative song at the ceremony.,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.011143404990434647,0.8814730644226074,0.10738357901573181,entailment,,False,False
Name vs schema,Kryzbekian rapper Zorlan Vex perform song.,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9913089275360107,0.005079752765595913,0.0036112263333052397,contradiction,,False,False
Name vs schema,Zorlan Vex was born in Kryzbekia.,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9984388947486877,0.0005849848384968936,0.0009761576657183468,contradiction,,False,False
Nationality effect - Sean Paul,British Sean Paul perform song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9518353939056396,0.03649316355586052,0.011671548709273338,contradiction,,False,False
Nationality effect - Sean Paul,American Sean Paul perform song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9918088316917419,0.005055788904428482,0.003135403385385871,contradiction,,False,False
Nationality effect - Sean Paul,Italian Sean Paul perform song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.8261803388595581,0.15036581456661224,0.02345379628241062,contradiction,,False,False
Nationality effect - Sean Paul,French Sean Paul perform song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9799456596374512,0.015000267885625362,0.00505414605140686,contradiction,,False,False
Nationality effect - Sean Paul,Brazilian Sean Paul perform song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.980513870716095,0.014392456039786339,0.005093651823699474,contradiction,,False,False
Nationality effect - Sean Paul,Ukrainian Sean Paul perform song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.21955712139606476,0.606433629989624,0.17400921881198883,entailment,,False,False
Nationality effect - Bocelli,Italian Andrea Bocelli performed Nessun Dorma,"The 2006 FIFA World Cup Final was played at the Olympiastadion in Berlin, Germany.",0.9998446702957153,3.4808210330083966e-05,0.00012044875620631501,contradiction,,False,False
Nationality effect - Bocelli,French Andrea Bocelli performed Nessun Dorma,"The 2006 FIFA World Cup Final was played at the Olympiastadion in Berlin, Germany.",0.9997021555900574,0.00010477246541995555,0.00019310748029965907,contradiction,,False,False
Nationality effect - Bocelli,British Andrea Bocelli performed Nessun Dorma,"The 2006 FIFA World Cup Final was played at the Olympiastadion in Berlin, Germany.",0.9991602897644043,0.00038791538099758327,0.0004517972411122173,contradiction,,False,False
Nationality effect - Bocelli,German Andrea Bocelli performed Nessun Dorma,"The 2006 FIFA World Cup Final was played at the Olympiastadion in Berlin, Germany.",0.9990992546081543,0.0003632186562754214,0.0005374911706894636,contradiction,,False,False
Nationality effect - Bocelli,Jamaican Andrea Bocelli performed Nessun Dorma,"The 2006 FIFA World Cup Final was played at the Olympiastadion in Berlin, Germany.",0.999402642250061,0.00026906467974185944,0.0003283080004621297,contradiction,,False,False
Register effect,Sean Paul performed a song.,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9994361996650696,0.0001905548997456208,0.0003732501354534179,contradiction,,False,False
Register effect,Sean Paul performs song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9896039962768555,0.00632375106215477,0.0040722438134253025,contradiction,,False,False
Register effect,Sean Paul performing song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.9648781418800354,0.02538265660405159,0.009739205241203308,contradiction,,False,False
Register effect,Sean Paul: performance,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.3122714161872864,0.4843939244747162,0.20333461463451385,entailment,,False,False
Register effect,sean paul perform song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.03487009555101395,0.8406426310539246,0.12448727339506149,entailment,,False,False
Register effect,Sean Paul's song performance,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.8969857692718506,0.07008503377437592,0.03292921185493469,contradiction,,False,False
Register effect,perform song,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.14637182652950287,0.5351226329803467,0.31850549578666687,entailment,,False,False
Register effect,perform,"The 2018 Champions League Final was held at the NSC Olimpiyski Stadium in Kyiv, Ukraine.",0.0025894788559526205,0.0018897042609751225,0.995520830154419,neutral,,False,False
